"it0499a","it0755a","it0187a","it0267a","it0448a","it0852a","it0854a","it0594a","it0706a","it0707a","it0469a","it0470a","it0544a","it0643a","it0663a","it0709a","it0740a","it0692a","it0507a","it0705a","it0721a","it0777a","it0778a","it0839a","it0804a","it0892a","it0895a","it0846a","it0912a","it0997a","it0508a","it0771a","it1048a","it1010a","it1143a","it1016a","it0776a","it1034a","it0903a","it0906a","it0908a","it0940a","it1144a","it0963a","it0983a","it1029a","it1105a","it1121a","it1145a","it1130a","it1192a","it1152a","it1104a","it1159a","it0966a","it1163a","it1286a","it1177a","it1232a","it1179a","it0988a","it1287a","it1204a","it1090a","it1153a","it1336a","it1464a","it1388a","it1213a","it1459a","it1166a","it1463a","it1519a","it1524a","it1533a","it1670a","it1214a","it1215a","it1168a","it1190a","it1328a","it1246a","it1340a","it1451a","it1453a","it1676a","it1523a","it1529a","it1646a","it1532a","it1247a","it1650a","it1535a","it1334a","it1536a","it1692a","it1734a","it1544a","it1335a","it1735a","it1590a","it1737a","it1594a","it1385a","it1596a","it1619a","it1475a","it1771a","it1883a","it1510a","it1886a","it1911a","it1587a","it1928a","it1790a","it1739a","it1838a","it1847a","it1848a","it1870a","it1588a","it1871a","it1648a","it1672a","it1874a","it1877a","it1880a","it1903a","it1904a","it1908a","it1910a","it1917a","it1743a","it2039a","it1918a","it1812a","it1878a","it2107a","it1920a","it1826a","it1830a","it1914a","it1921a","it1923a","it1936a","it2108a","it1948a","it1862a","it1975a","it1865a","it2071a","it1868a","it2074a","it2116a","it1869a","it1873a","it1967a","it2072a","it2156a","it1876a","it1964a","it1965a"
62,61.30832999,2,51,74,2.33749999875,20.0624999966667,21.5791666608333,28,38.464019,49,39,36.30541399,63,58.27916482375,28.833333375,66.700000125,60,31.354167,48,33.7125009583333,20.7791656666667,37.7708352083333,57.04000099,52,76.04583044875,43.64166775,15.8199999995652,13.76,30,59,27,18.066667625,6.32499999958333,43.299999,41,85,40,11,33,29.816666,32.3666676666667,59,29,33,48,28.4696737458333,46.795292,55,17,61,23.39,15.41,11.9908333304167,53,71.701666,38,29,12.9896533304167,29.1615720795833,79,49,15.6583333329167,28.3208333308333,56,55,75,73,32.45,23,16,64.687493,77.67583,41,14.79583333,10.0249999979167,84,74,51.5,45.69916599,44,99,37.951,38.311298,52.119999,22.19999999,16,31,47,24,14,31,44,72,24.8316666616667,24.18,33.32001,21.43749994875,75,17,61,43,59.0874915833333,17.395833375,29.81249994875,47,14,10,52.1750008745833,29.33083299,26.46666499,46.1208313233333,72.83749991625,50.9333313233333,51,10,2.62916666625,14.916666625,46,80,17,10,87,65.6708332495833,64.045484,68.967166,83,102,25.174999,55.83833099,34.387498,64,41,114,12.39,14.7541666641667,45,5,47,51,20,53,42,51,46,67,62,43,74,21,66.0958247083334,68.6208352916667,24.0375000320833,55,25.64999999,87,64,8,30.69999999,26.8,33,59
63,70.78333,47,87,75,1.2,23.5666666620833,4.60416666083333,37,57.86319,70,47,67.12708,87.554,64.43333525,35.4583342916667,70.787502875,67,50.6325,60,46.8708333333333,44.3416657079167,47.495832375,85.81999999,70,72.4333333333333,64.8625028745834,14.38,52.03999999,62,60,49,39.0083333333333,5.55416665708333,44.170832375,63,51,38.7,33,56,72.84,60.5791676245833,60.4958333333333,40,33,52,12.840861665,74.87942999,69,51,97,51.1,43.53999999,14.1113043443478,49,67.14833,67,58,18.3443233308333,38.5632829141667,68,55,24.8791666566667,33.2347826021739,71,60,75,66,52.85999999,40,29,74.52249999,75.26915999,45,14.79166666125,10.3874999954167,73,50,51.5,63.05917,41,75,67.34799999,61.06,52.119999,17.29999,27,61,64,48,49,37,65,56,33.3149999975,23.6,44.05592999,34.6041657083333,50,26,45,57,65.7374823333334,36.7583342916667,41.9166657079166,36,14,64,53.25416474,68.62749999,61.15749999,58.63749807375,69.0541647404167,48.87499807375,63,18,3.84166665708334,27.5333323745833,70,64,31,20,57,58.1083314066667,80.62551,63.81725999,54,62,46.0416657083333,89.1633,58.13915999,64,57,76,33.85999999,17.02624999625,62,30,54,53,34,52,45,53,62,49,69,58,60,59,65.7833329166667,62.379167625,40.2208342916667,65,41.84,67,67,17,48,56.2,59,71
55,70.78333,39,66,90,36.5083333308333,58.73749999625,21.8541666633333,25,39.04374,31,17,33.69415999,32.2,26.3,20.69999999,47.79999999,54,20.53,59,14,12,14.4,41.06,44,26.5,29.19999999,20.6021739086957,8.32,50,56,46,13.69999999,7.2,22.8,38,47,15.8,2,17,25.5025,22.1,24.3,45,17.5,57,10.8465599975,41.76084,50,31,89,28.89999999,16.28999999,14.1113043443478,46,46.50833,52,53,21.1539974966667,32.49897707875,33,46,16.3,33.2347826021739,51,45,75,57,21.1,22,11,28.4125,45.75636,21,38.2916666620833,47.9291666629167,50,35,51.5,52.7075,43,31,16.2955,23.51,52.119999,16.79999,11,25,49,52,19,21,50,52,30.6008333291667,15.65,20.35354999,14.8,42,12,37,26,36.39999999,10.19999999,17.1,51,5,49,20.19999999,19.49082999,33.00583,37.79999999,42.7,17.39999999,47,6,6.4,5.09999999,30,22,14,8,46,46.89999999,49.37554,49.47382,33,39,20.3,45.08749999,17.73667,64,36,23,10.66,14.0966666633333,50,5,43,35,32,40,48,49,57,49,40,55,50,38,24.79999,22.8,13.3,32,9.65,34,51,9,16.6,15.9,43,55
38,70.78333,28,50,79,0.983333332916667,5.34583332958333,11.1333333308333,24,18.54148,40,17,21.3425,21.39999999,24.6,23.1,30.1,35,34.31582999,35,12,16.69999999,28.1,30.26,28,40.6,92.29999999,2.75999999,4.9,18,35,22,24.19999999,6.59999999,30.8,25,32,8.09999999,28,21,15.73583,32.2,22.6,21,16.1,29,9.9104591625,33.55818,35,13,83,18.96999999,12.75,14.1113043443478,43,34.88,23,29,12.70461416375,17.0736633304167,35,17,21.8,33.2347826021739,25,18,42,44,30.93,19,8,23.80833,38.80832999,19,7.02083333,3.36666666541667,40,34,51.5,21.3825,21,50,20.56599999,19.3903,52.119999,7,18,27,39,22,10,32,40,25,16.72791666125,25.53999999,19.61945,16.19999999,57,11,26,24,32.79999,10.69999999,16.1,25,7,26,19.39999999,11.16363999,16.23999999,23.8,46.6,14.8,33,2,16.6,9.5,30,32,16,6,43,21,19.94258,26.01371,16,44,23.6,26.305,19.05399999,64,27,43,5.87999999,7.93208333083334,39,5,24,24,10,27,33,29,28,24,32,24,57,15,26.69999999,22.89999999,30.19999999,24,14.51,64,29,14,32,27.8,27,49
45,50.77915999,47,63,79,1.2260869526087,5.04166666416667,9.77083333,25,27.51392999,53,29,45.88125,47.79999999,47.7,35.6,44.7,36,49.28332999,21,42,34.79999999,40.29999999,48.82,29,61.5,83.9,19.8578260821739,9.09999999,20,27,20,56.2,4.59999999,55.79999999,30,55,19.89999999,44,29,21.92749999,60.2,50.7,18,51.39999999,24,6.02360874541667,65.61798,36,25,76,26.03999999,18.69,14.1113043443478,52,57.29167,21,34,11.1572574970833,19.0069162479167,48,27,40.29999999,33.2347826021739,25,36,49,56,35.25999999,30,20,52.27667,64.46416,25,3.09999999666667,2.66956521521739,50,52,51.5,29.07999999,21,58,48.7817,33.368,52.119999,7,15,29,57,37,15,34,48,47,24.4712499975,24.5,22.54416,37.39999999,51,18,40,32,46.29999,33.7,47.5,18,6,44,54.2,27.92749999,16.23999999,43.2,60.89999999,49.1,34,9,16.5,24.3,49,43,19,9,60,36.2,35.77958999,42.53699999,31,49,39.39999999,52.84832999,32.835,64,36,65,11.82,12.7524999954167,57,5,21,34,14,38,40,35,31,38,44,22,77,35,51.59998999,52.1,65.29999999,38,23.42,68,49,11,34.39999999,42,27,39
76,63.14332999,72,72,93,0.961904759523809,10.9666666641667,5.59166666291667,45,40.48472,78,50,58.77125,61.29999999,80.7,40.89999999,72.9,61,44.66917,54,65.2,52.5,55.89999999,63.97999999,48,78.29999999,53.7,22.6078260830435,13.07,35,62,33,39.79999999,5.4,62.5,45,74,37,33,45,34.60582999,72.5,72.7,42,50.5,47,13.7973116641667,71.45631,52,30,104,27.98999999,18.28999999,14.1113043443478,67,68.49582999,42,41,13.4782924958333,22.5885187466667,76,55,29.39999999,33.2347826021739,25,78,83,88,22.96,36,17,66.07165999,75.36333,63,7.25833333,7.67499999875,82,72,51.5,64.25499999,51,96,59.0732,42.5398,52.119999,7,25,38,67,57,13,36,53,75,26.8112499966667,27.1,34.30165,96.09999999,99,34,92,55,65.9,46.5,61.7,41,6,57,66.5,48.68249999,16.23999999,58.6,73,57.2,57,14,4.4,40.79999999,71,74,5,14,89,67.7,61.96580999,65.23695999,60,49,63.29999999,61.25332999,44.37333,72,51,84,12.09,13.4087499958333,78,5,49,50,27,60,63,67,47,71,66,42,96,53,70.5,65.4,45.79999999,51,28.57,97,83,3,20.19999999,23.89999999,27,62
84,69.15666,144,61,77,0.841176470588235,10.33333333,3.87083333,24,36.23565,68,46,57.62791,68.56999999,81.5,37.39999999,78.7,54,44.66917,56,6,22.6,44.7,78.84999999,43,91.2,42.6,22.53833333,16.12999999,29,72,18,21.5,3.6,50.79999999,42,165,65.4,5,24,37.2,47.2,75.4,39,32,57,28.3559529382353,68.24071,48,14,83,20.57,14.76,14.1113043443478,59,83.79083,41,31,22.3145149958333,35.8363770808333,94,72,15.69999999,33.2347826021739,25,88,104,102,23.14999999,14,5,70.29498999,80.51082999,78,12.90416666375,5.82916666375,126,96,51.5,68.7325,61,115,37.73839999,51.9352,52.119999,7,10,29,56,28,5,32,39,100,36.8899999958333,27.55,37.20505,20.89999999,163,35,167,56,67.9,9.9,28.8,42,7,36,67.9,15.29917,16.23999999,42.29999999,89,60.29999999,50,6,2.89999999,15.3,66,91,5,4,160,74.4,73.80953999,78.18815999,82,106,33.1,51.77582999,36.97332999,63,34,120,11.11999999,22.0708333291667,61,5,49,58,14,62,66,77,22,73,71,61,158,22,74.59999,70.29999999,25.69999999,55,23.39999999,139,98,0,20.3,28.1,27,65
113,93.16665999,68,65,75,0.617391304347826,3.62499999583333,4.39166666125,43,42.88492999,58,62,62.61041,92.95999999,98.29999999,51,82.7,111,44.66917,49,63,57.29999999,73.79999999,82.57999999,85,94.59999999,74.2,14.8245833295833,11.3,46,68,51,38.39999999,6.29999999,74.4,82,77,37.09998999,30,27,50.70667,86.9,96.09999999,48,83.5,44,28.3559529382353,67.05876,82,24,78,19.98,16.28999999,14.1113043443478,115,102.583,56,49,28.6464641604167,51.8111366633333,98,81,23.89999999,33.2347826021739,25,66,90,86,35.63,41,28,91.94244999,111.97162,50,2.1499999975,1.77083333,86,76,51.5,85.03417,89,101,64.83499999,57.75789999,52.119999,7,31,29,58,27,9,54,64,66,33.5204166645833,30.64999999,20.9993,59.5,50,32,51,51,93.29999999,58.1,74.29999999,34,8,62,92.09999999,48.29916999,16.23999999,71,99.59999999,84,104,17,12.19999999,45.1,56,97,15,16,78,85.5,83.34971,95.56905,67,66,69.29999999,74.10665,55.51167,61,56,108,11.11999999,20.9812499975,57,5,39,84,40,93,113,101,75,97,92,49,78,33,92.4,89.7,54,78,30.14,77,81,5,33.5,34.39999999,27,92
68,86.03167,63,100,102,1.63749999833333,10.2458333304167,10.0499999958333,53,72.67118999,78,53,98.71452999,107.10899999,103,85.9,54.5,95,73.10832999,82,71.59999999,70,80.59999999,91.81999999,82,81.29999999,79.7,24.3069565169565,17.44,77,81,69,40.1,9.4,101.7,85,53,43,17,49,50.70667,110.7,108.7,72,80,79,20.02441999,106.89861999,79,64,117,29.48,24.8,14.1113043443478,73,92.54083,78,71,42.8169979133333,35.0223787470833,72,49,50.2,33.2347826021739,79,67,71,66,33.35999999,69,45,99.87163999,105.50664,42,5.49583333125,6.15416666333333,75,63,51.5,59.22999999,53,74,90.1179,77.03,90.92368,7,38,35,81,70,30,51,99,65,32.1008333304167,36.77,29.24321,71.4,55,50,49,66,84.09999,111.8,96.09999999,72,7,91,107.5,79.71832999,102.90331,72.29999999,81,110.59999999,94,23,16.89999999,65.4,80,65,12,29,64,59.2,50.93113999,55.66738,54,81,86.09999999,101.40996,64.93998999,61,79,76,19.26,18.53499999625,85,6,67,71,45,58,77,64,87,45,87,73,79,76,75.79999999,86.2,49.6,82,30.93,80,67,7,31.39999999,34.39999999,27,83
51,29.96583,66,64,83,9.05238094857143,22.49999999625,14.3916666629167,13,47.38703,57,21,46.56416,34.2502,24.69999999,27.19999999,45.7,46,26.35667,82,21,18.19999999,25.3,37.79999999,32,24.5,64.5,20.6421739091304,14.28999999,55,54,29,14.69999999,2.29999999,40.1,31,71,39.39999999,3,0,10.46777999,29.19999999,32.89999999,64,80,73,19.5360149961111,56.20902999,34,14,81,17.6,13.17,14.1113043443478,46,50.16082999,59,55,33.2885354108333,30.1790712454167,70,38,6.79999999,33.2347826021739,50,50,49,40,30.52,26,5,31.06582999,46.19749999,45,32.0958333295833,18.0681818163636,54,52,47,47.34917,40,53,22.9494,38.3753,31.90696,30,7,39,71,53,12,18,46,49,39.1704166620833,14.91,40.01628,19.69999999,84,37,63,52,33,111.8,23.1,79,4,22,28.89999999,28.95333,47.73749999,49,41.1,35.6,44,10,2.6,17.69999999,54,63,5,8,77,43.7,49.73604999,54.6629,53,70,18.19999999,41.89665999,25.62249999,49,31,61,9.88,19.2558333291667,73,8,69,38,14,46,46,42,43,50,38,71,70,44,24.79999,26.69999999,23.89999999,33,6.91,63,50,6,20.89999999,28.39999999,27,41
