"site","latitude","longitude","region"
"it0187a",44.8425,11.61306,"Emilia-Romagna"
"it0267a",45.329444,9.414722,"Lombardia"
"it0448a",45.429444,12.313889,"Veneto"
"it0469a",45.0758,7.6782,"Piemonte"
"it0470a",45.10407,7.69534,"Piemonte"
"it0499a",46.61947,10.85906,"Trentino-Alto Adige"
"it0507a",46.71492,11.65408,"Trentino-Alto Adige"
"it0508a",46.79735,11.94403,"Trentino-Alto Adige"
"it0544a",44.82389,9.83028,"Emilia-Romagna"
"it0594a",45.54083,10.22361,"Lombardia"
"it0643a",44.9066,8.612,"Piemonte"
"it0663a",45.714444,11.368611,"Veneto"
"it0692a",45.10167,8.90556,"Lombardia"
"it0705a",45.462778,9.195833,"Lombardia"
"it0706a",45.482778,9.3275,"Lombardia"
"it0707a",45.690278,9.643889,"Lombardia"
"it0709a",45.144444,10.803333,"Lombardia"
"it0721a",44.63605,10.90473,"Emilia-Romagna"
"it0740a",45.655,10.20083,"Lombardia"
"it0755a",44.215,12.056389,"Emilia-Romagna"
"it0771a",45.80444,9.08361,"Lombardia"
"it0776a",45.849444,9.395833,"Lombardia"
"it0777a",45.69795956,9.40619194,"Lombardia"
"it0778a",45.518333,9.591389,"Lombardia"
"it0804a",44.79361,10.33167,"Emilia-Romagna"
"it0839a",45.36722,9.705,"Lombardia"
"it0846a",45.504722,10.313056,"Lombardia"
"it0852a",44.4255,8.82598,"Liguria"
"it0854a",44.41816,8.92737,"Liguria"
"it0892a",44.48333,11.355,"Emilia-Romagna"
"it0895a",44.42861,12.18667,"Emilia-Romagna"
"it0903a",44.516111,10.733889,"Emilia-Romagna"
"it0906a",46.167222,9.870556,"Lombardia"
"it0908a",46.470278,10.3725,"Lombardia"
"it0912a",45.193889,9.164722,"Lombardia"
"it0940a",44.690833,10.664722,"Emilia-Romagna"
"it0963a",45.499167,12.262222,"Veneto"
"it0966a",46.066111,13.240556,"Friuli-Venezia Giulia"
"it0983a",45.73583,7.32417,"Valle D'Aosta"
"it0988a",45.5966,7.76643,"Valle D'Aosta"
"it0997a",45.695687,9.661667,"Lombardia"
"it1010a",45.4675,8.8925,"Lombardia"
"it1016a",45.469722,9.198056,"Lombardia"
"it1029a",44.35556,11.72028,"Emilia-Romagna"
"it1034a",45.66083,9.15694,"Lombardia"
"it1048a",44.219167,12.048889,"Emilia-Romagna"
"it1090a",45.62319,13.78746,"Friuli-Venezia Giulia"
"it1104a",45.185556,9.146944,"Lombardia"
"it1105a",44.78833,10.33667,"Emilia-Romagna"
"it1121a",45.1758,7.5602,"Piemonte"
"it1130a",45.1432,7.7782,"Piemonte"
"it1143a",44.27253,8.43892,"Liguria"
"it1144a",44.28709,8.43169,"Liguria"
"it1145a",44.31268,8.47293,"Liguria"
"it1152a",44.79943,10.88365,"Emilia-Romagna"
"it1153a",45.132778,10.016667,"Lombardia"
"it1159a",44.49972,11.32833,"Emilia-Romagna"
"it1163a",44.47222,11.41639,"Emilia-Romagna"
"it1166a",46.401944,13.011111,"Friuli-Venezia Giulia"
"it1168a",45.973333,13.393333,"Friuli-Venezia Giulia"
"it1177a",45.560556,11.539722,"Veneto"
"it1179a",44.839722,11.961111,"Emilia-Romagna"
"it1190a",46.13167,9.56639,"Lombardia"
"it1192a",44.36533,8.29011,"Liguria"
"it1204a",44.42,12.225556,"Emilia-Romagna"
"it1213a",45.04667,12.06194,"Veneto"
"it1214a",45.039722,11.791111,"Veneto"
"it1215a",45.07472,11.78333,"Veneto"
"it1232a",44.38241,8.28068,"Liguria"
